City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Taoudenni,ML,22.6783,-3.9836,77.9,22,1,9.69,clear sky
105,Koppies,ZA,-27.2418,27.5742,53.24,95,100,7.18,light rain
106,Norton,ZW,-17.8833,30.7,61.2,93,76,6.78,broken clouds
107,Weligama,LK,5.9667,80.4167,79.39,84,99,5.1,overcast clouds
108,Hasaki,JP,35.7333,140.8333,61.2,65,74,9.55,broken clouds
109,Guerrero Negro,MX,27.9769,-114.0611,67.19,61,91,19.95,overcast clouds
110,Upernavik,GL,72.7868,-56.1549,-2.36,85,100,13.62,overcast clouds
111,Esperance,AU,-33.8667,121.9,60.22,67,82,7.11,broken clouds
112,San Rafael,AR,-34.6177,-68.3301,66.99,35,9,10.54,clear sky
113,Provideniya,RU,64.3833,-173.3,32.36,93,100,20.13,snow
114,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,11.5,light snow
115,Cape Town,ZA,-33.9258,18.4232,62.35,80,51,14.0,broken clouds
116,Olafsvik,IS,64.8945,-23.7142,42.04,68,96,10.02,overcast clouds
117,Nabire,ID,-3.3667,135.4833,78.71,88,86,1.92,overcast clouds
118,Alofi,NU,-19.0595,-169.9187,81.46,74,85,11.21,overcast clouds
119,Gamba,GA,-2.65,10.0,77.52,91,100,3.8,overcast clouds
120,Kodiak,US,57.79,-152.4072,42.31,70,100,9.22,overcast clouds
121,Talnakh,RU,69.4865,88.3972,4.21,97,100,4.88,light snow
122,Tuktoyaktuk,CA,69.4541,-133.0374,15.37,80,100,9.95,overcast clouds
123,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,18.41,scattered clouds
124,Nishihara,JP,26.1842,127.7558,69.08,68,75,4.61,broken clouds
125,Jackson,US,42.4165,-122.8345,60.15,49,0,4.61,clear sky
126,Pangnirtung,CA,66.1451,-65.7125,-2.74,99,100,6.71,light snow
127,Nongan,CN,44.382,125.1685,45.01,30,42,5.14,scattered clouds
128,Ambilobe,MG,-13.2,49.05,71.87,90,50,3.18,scattered clouds
129,Santa Marta,CO,11.2408,-74.199,84.88,73,98,1.01,overcast clouds
130,La Rioja,ES,42.25,-2.5,46.18,69,100,3.71,overcast clouds
131,Atuona,PF,-9.8,-139.0333,79.74,78,8,16.82,clear sky
132,Bredasdorp,ZA,-34.5322,20.0403,59.74,94,80,4.38,broken clouds
133,Lavrentiya,RU,65.5833,-171.0,30.58,98,100,14.23,light snow
134,Nawalapitiya,LK,7.0559,80.5348,69.67,95,69,2.62,broken clouds
135,Miguel Auza,MX,24.2933,-103.4503,86.43,8,52,13.67,broken clouds
136,Moerai,PF,-22.4333,-151.3333,79.29,70,10,3.44,clear sky
137,Maneadero,MX,31.7167,-116.5667,66.09,75,2,5.01,clear sky
138,Inhambane,MZ,-23.865,35.3833,72.21,91,96,5.17,moderate rain
139,Lebu,CL,-37.6167,-73.65,54.64,85,100,9.08,overcast clouds
140,Nikolskoye,RU,59.7035,30.7861,38.71,76,100,3.78,overcast clouds
141,Arraial Do Cabo,BR,-22.9661,-42.0278,73.53,67,2,13.15,clear sky
142,Kyren,RU,51.6828,102.1408,42.06,58,91,3.62,overcast clouds
143,Butaritari,KI,3.0707,172.7902,81.77,74,12,11.81,few clouds
144,Kazachinskoye,RU,57.6953,93.2761,42.03,88,100,8.12,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,33.22,89,100,10.74,overcast clouds
146,Hamilton,US,39.1834,-84.5333,51.89,45,0,11.5,clear sky
147,Olinda,BR,-8.0089,-34.8553,79.59,80,63,7.99,broken clouds
148,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.61,74,2,10.36,clear sky
149,Dangriga,BZ,16.9692,-88.2321,81.72,68,27,11.12,scattered clouds
150,Jalalabad,AF,34.4265,70.4515,76.53,31,95,2.64,overcast clouds
151,Sisimiut,GL,66.9395,-53.6735,18.81,78,100,5.61,overcast clouds
152,Clyde River,CA,70.4692,-68.5914,-14.57,76,75,3.44,light snow
153,Yellowknife,CA,62.456,-114.3525,19.56,44,98,13.0,overcast clouds
154,Carnarvon,AU,-24.8667,113.6333,64.47,88,99,11.5,overcast clouds
155,Kyshtovka,RU,56.555,76.6271,33.3,88,25,5.17,scattered clouds
156,Potiskum,NG,11.7091,11.0694,85.01,49,100,8.81,overcast clouds
157,Thanh Hoa,VN,19.8,105.7667,65.57,92,100,4.81,moderate rain
158,Bambous Virieux,MU,-20.3428,57.7575,75.22,87,35,13.02,light rain
159,Lillooet,CA,50.6856,-121.942,52.02,33,87,6.11,overcast clouds
160,Avrille,FR,47.5,-0.5833,52.77,75,97,5.44,overcast clouds
161,Romblon,PH,12.5751,122.2708,80.91,77,53,14.25,broken clouds
162,Thompson,CA,55.7435,-97.8558,29.62,60,100,2.24,overcast clouds
163,Labuhan,ID,-6.8844,112.2051,79.65,87,49,3.69,scattered clouds
164,Usinsk,RU,65.9939,57.5281,28.4,96,100,12.97,overcast clouds
165,Rincon,US,32.296,-81.2354,73.9,86,100,17.27,light rain
166,Bethel,US,41.3712,-73.414,46.94,43,77,7.0,broken clouds
167,San Patricio,US,28.017,-97.5169,87.19,57,15,16.26,few clouds
168,Thatta,PK,24.7475,67.9235,78.26,89,23,10.33,few clouds
