City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Halifax,CA,2022-04-17 00:55:42,44.6453,-63.5724,48.09,71,100,18.41
101,Bethel,US,2022-04-17 00:58:47,41.3712,-73.414,49.5,88,100,5.01
102,Komsomolskiy,UZ,2022-04-17 00:58:47,40.4272,71.7189,57.92,47,62,4.61
103,Ketchikan,US,2022-04-17 00:53:10,55.3422,-131.6461,44.58,43,34,4.74
104,Esperance,AU,2022-04-17 00:55:37,-33.8667,121.9,60.64,67,92,14.54
105,Busselton,AU,2022-04-17 00:53:00,-33.65,115.3333,61.79,55,58,9.57
106,Comodoro Rivadavia,AR,2022-04-17 00:54:20,-45.8667,-67.5,53.46,71,0,4.61
107,Vanimo,PG,2022-04-17 00:58:48,-2.6741,141.3028,85.66,67,48,4.56
108,Maniwaki,CA,2022-04-17 00:58:48,46.3834,-75.966,34.18,44,100,4.61
109,Martinsville,US,2022-04-17 00:54:56,36.6915,-79.8725,67.82,61,0,4.61
110,Dubrovnik,HR,2022-04-17 00:58:48,42.6481,18.0922,58.64,47,75,27.63
111,Mangrol,IN,2022-04-17 00:58:49,21.1167,70.1167,79.25,70,0,8.55
112,Port Elizabeth,ZA,2022-04-17 00:55:31,-33.918,25.5701,62.89,87,20,11.5
113,Pingliang,CN,2022-04-17 00:58:49,35.5392,106.6861,46.54,43,100,17.96
114,Vinh,VN,2022-04-17 00:58:49,18.6667,105.6667,74.16,92,100,10.74
115,Pacific Grove,US,2022-04-17 00:49:51,36.6177,-121.9166,64.24,75,100,11.5
116,Grass Valley,US,2022-04-17 00:53:55,39.2191,-121.0611,59.68,85,40,6.91
117,Turan,VN,2022-04-17 00:57:33,16.0678,108.2208,80.58,83,40,9.22
118,Graaff-Reinet,ZA,2022-04-17 00:58:50,-32.2522,24.5308,51.93,88,5,1.57
119,Baturite,BR,2022-04-17 00:58:50,-4.3286,-38.8847,73.08,95,53,0.98
120,Altay,CN,2022-04-17 00:58:51,47.8667,88.1167,45.84,33,0,6.82
121,Christchurch,NZ,2022-04-17 00:58:51,-43.5333,172.6333,57.33,83,100,3.0
122,Kilindoni,TZ,2022-04-17 00:58:51,-7.9139,39.6668,81.36,80,49,14.32
123,Saint-Joseph,RE,2022-04-17 00:57:59,-21.3667,55.6167,73.78,77,21,10.76
124,Qianan,CN,2022-04-17 00:58:52,44.9932,124.0581,51.42,21,90,9.95
125,Ponta Do Sol,PT,2022-04-17 00:55:36,32.6667,-17.1,70.43,35,100,6.89
126,Peleduy,RU,2022-04-17 00:53:09,59.6289,112.7406,30.29,97,100,6.38
127,Atuona,PF,2022-04-17 00:54:14,-9.8,-139.0333,79.12,79,67,17.52
128,Alyangula,AU,2022-04-17 00:55:35,-13.8483,136.4192,85.87,74,87,10.36
129,Ariquemes,BR,2022-04-17 00:58:52,-9.9133,-63.0408,73.22,98,100,2.66
130,Saskylakh,RU,2022-04-17 00:55:28,71.9167,114.0833,17.37,93,100,18.43
131,Nemuro,JP,2022-04-17 00:58:53,43.3236,145.575,39.87,74,2,13.6
132,Carnarvon,AU,2022-04-17 00:54:19,-24.8667,113.6333,73.47,78,100,14.97
133,Mabaruma,GY,2022-04-17 00:58:53,8.2,-59.7833,73.98,93,100,4.12
134,Evensk,RU,2022-04-17 00:58:53,61.95,159.2333,32.05,78,100,6.31
135,Broome,US,2022-04-17 00:54:37,42.2506,-75.833,42.71,81,100,3.0
136,Yola,NG,2022-04-17 00:58:54,9.2,12.4833,88.88,48,57,4.03
137,Westerland,DE,2022-04-17 00:58:54,54.9079,8.3033,39.22,81,100,9.22
138,Roald,NO,2022-04-17 00:58:54,62.5833,6.1333,44.76,93,100,5.75
139,Aykhal,RU,2022-04-17 00:54:19,66.0,111.5,29.43,96,100,13.31
140,Zhucheng,CN,2022-04-17 00:59:55,35.9947,119.3975,63.3,22,26,6.31
141,Khandyga,RU,2022-04-17 00:59:55,62.6667,135.6,23.58,82,60,1.16
142,Arraial Do Cabo,BR,2022-04-17 00:50:45,-22.9661,-42.0278,72.95,69,0,14.45
143,Arkhipo-Osipovka,RU,2022-04-17 00:59:56,44.37,38.52,47.62,70,98,3.87
144,Zelenoborsk,RU,2022-04-17 00:59:56,61.4669,64.0333,26.35,96,100,2.86
145,Mungaa,TZ,2022-04-17 00:59:56,-4.9667,34.8833,58.6,94,100,4.68
146,Makat,KZ,2022-04-17 00:59:56,47.6469,53.3463,53.67,68,40,2.73
147,Mitu,CO,2022-04-17 00:59:57,1.1983,-70.1733,71.78,99,52,1.21
148,Sao Filipe,CV,2022-04-17 00:59:57,14.8961,-24.4956,70.74,79,13,6.04
149,Henderson,US,2022-04-17 00:56:03,36.0397,-114.9819,81.14,23,0,26.46
150,Geraldton,AU,2022-04-17 00:58:33,-28.7667,114.6,66.61,77,100,12.66
151,Vardo,NO,2022-04-17 00:59:58,70.3705,31.1107,38.48,83,100,28.77
152,Port Alfred,ZA,2022-04-17 00:59:58,-33.5906,26.891,59.18,92,100,9.62
153,Alugan,PH,2022-04-17 00:59:58,12.2188,125.4808,81.37,78,91,5.91
154,Severo-Kurilsk,RU,2022-04-17 00:59:58,50.6789,156.125,32.29,78,100,10.22
155,Breytovo,RU,2022-04-17 00:59:59,58.2993,37.8617,25.16,94,11,6.35
156,Vanderhoof,CA,2022-04-17 00:59:59,54.0166,-124.0198,40.28,37,87,5.19
157,Ilam,NP,2022-04-17 00:59:59,26.9167,87.9167,69.1,40,1,3.4
158,Kamenka,RU,2022-04-17 01:00:00,51.3223,42.7678,50.5,79,100,11.43
159,Touros,BR,2022-04-17 01:00:00,-5.1989,-35.4608,79.12,84,86,6.31
160,Caravelas,BR,2022-04-17 01:00:01,-17.7125,-39.2481,77.7,66,100,10.18
161,Marystown,CA,2022-04-17 01:00:03,47.1666,-55.1483,44.37,57,100,19.62
162,Guanare,VE,2022-04-17 01:00:05,9.0418,-69.7421,80.62,83,98,3.44
163,Kiunga,PG,2022-04-17 01:00:07,-6.1219,141.2906,82.76,76,100,2.01
164,Puerto Colombia,CO,2022-04-17 01:00:10,10.9878,-74.9547,79.63,89,50,18.81
165,Yulara,AU,2022-04-17 00:56:34,-25.2406,130.9889,76.84,44,5,11.5
166,Kralovice,CZ,2022-04-17 01:00:14,49.9819,13.4875,37.35,76,9,2.64
167,Vrangel,RU,2022-04-17 01:00:15,42.7297,133.0839,46.83,45,100,4.34
168,Tamiahua,MX,2022-04-17 01:00:16,21.2667,-97.45,77.63,88,0,12.21
169,Bonavista,CA,2022-04-17 01:00:17,48.6499,-53.1147,39.38,75,100,17.58
170,Sorong,ID,2022-04-17 01:00:17,-0.8833,131.25,82.96,74,56,1.59
171,Mounana,GA,2022-04-17 01:00:18,-1.4085,13.1586,69.55,98,98,2.46
172,Grand-Lahou,CI,2022-04-17 01:00:20,5.1367,-5.0242,77.43,85,100,3.4
173,Goderich,CA,2022-04-17 01:00:21,43.7501,-81.7165,32.92,92,100,19.15
174,Olinda,BR,2022-04-17 01:00:21,-8.0089,-34.8553,80.29,83,20,8.88
175,Derzhavinsk,KZ,2022-04-17 01:00:22,51.1,66.3167,46.67,73,97,7.76
176,Ahipara,NZ,2022-04-17 00:53:05,-35.1667,173.1667,68.74,68,100,16.02
177,Jalingo,NG,2022-04-17 01:00:23,8.8833,11.3667,83.39,65,72,4.43
178,Turukhansk,RU,2022-04-17 01:00:23,65.8167,87.9833,26.2,96,100,18.77
179,Oriximina,BR,2022-04-17 01:00:24,-1.7656,-55.8661,75.43,94,100,0.74
180,Hofn,IS,2022-04-17 01:00:24,64.2539,-15.2082,46.17,98,97,6.71
181,Chokurdakh,RU,2022-04-17 00:55:39,70.6333,147.9167,4.89,90,26,2.75
182,Leninsk,RU,2022-04-17 01:00:24,48.7119,45.1994,52.99,65,100,5.82
183,Tiksi,RU,2022-04-17 00:54:17,71.6872,128.8694,2.01,92,34,5.99
